Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2015,Terris Jones-Grigsby,Arizona,RB,66.88,198,8.5,27.75,,4.56,21,36,117,4.46,7.04,
2015,Marlin Lane,Tennessee,RB,71.63,210,9,31.25,,4.59,,35,114,4.2,7.12,
2015,Jeremy Langford,Michigan State,RB,71.63,208,8.75,31.5,,4.42,19,34.5,118,4.32,7.22,
2015,Terrence Magee,Louisiana State,RB,68.5,213,9,30,,4.57,22,37,115,4.37,7.52,
2015,Venric Mark,West Texas A&M,RB,66.75,175,8.63,29.875,,4.38,16,32,110,4.51,7.34,
2015,Lyle McCombs,Rhode Island,RB,67.75,171,,,,4.57,,37.5,131,4.33,,
2015,Raheem Mostert,Purdue,RB,70.38,190,9.13,30.875,,4.34,20,40,132,4.3,6.9,
2015,Marcus Murphy,Missouri,RB,68.63,193,8.63,31,,4.61,11,29,109,4.4,7.13,
2015,Kevin Parks,Virginia,RB,66.75,201,8.75,28,,4.53,21,39.5,112,4.59,7.31,
2015,Thomas Rawls,Central Michigan,RB,69,215,9.5,30.75,,4.65,15,35.5,116,4.37,7.1,
2015,Josh Robinson,Mississippi State,RB,67.88,217,10.13,29.75,,4.7,21,32,113,4.58,7.24,
2015,Dreamius Smith,West Virginia,RB,70.63,217,9.25,30.625,,4.59,21,35,124,4.05,6.9,
2015,Terron Ward,Oregon State,RB,65.88,197,8.88,28,,4.49,20,29.5,107,4.29,7.2,
2015,Terrell Watson,Azusa Pacific (CA),RB,72.63,239,9.13,31.25,,4.59,22,35.5,123,4.49,7.48,
2015,Brandon Wegher,Morningside (IA),RB,70.38,214,9.38,29.75,,4.52,23,37,118,4.43,7.18,
2015,Karlos Williams,Florida State,RB,72.75,230,9.75,33,,4.48,16,33.5,117,4.46,7.16,
2015,Kenny Williams,Texas Tech,RB,69.38,225,9.38,31.25,,4.58,25,36,119,4.34,6.9,
2015,Trey Williams,Texas A&M,RB,67.5,195,8.25,29.88,,4.49,18,33.5,119,4.12,6.84,11.45
2015,T.J. Yeldon,Alabama,RB,73.25,226,9,31.63,,4.61,22,36,117,4.22,7.19,
2014,Antonio Andrews,Western Kentucky,RB,70.13,225,9.5,31.25,,4.82,20,29.5,104,4.49,7.24,
2014,George Atkinson,Notre Dame,RB,73.38,218,9.38,33.25,,4.48,19,38,128,4.46,7.07,11.5
2014,Kapri Bibbs,Colorado State,RB,69.38,212,8.5,31.38,,4.67,24,29,104,4.61,7.5,
2014,Alfred Blue,Louisiana State,RB,74.38,223,9.88,32.38,,4.63,13,32,121,4.5,7.15,
2014,KaDeem Carey,Arizona,RB,69.38,207,9.5,31.75,,4.7,19,32.5,114,4.38,7.08,
2014,Tim Cornett,Nevada Las Vegas,RB,72.25,209,9.25,31,,4.48,15,34.5,124,4.26,7.01,11.72
2014,Isaiah Crowell,Alabama State,RB,71,224,9.25,31.38,,4.57,23,38,116,4.56,7.28,
2014,Tim Flanders,Sam Houston State (TX),RB,68.63,207,9.25,30.25,,4.75,20,32,112,4.31,7.07,
2014,David Fluellen,Toledo,RB,71.13,224,9.13,33.38,,4.72,16,36.5,120,4.21,6.9,
2014,Devonta Freeman,Florida State,RB,68.25,206,9.63,29.38,,4.58,14,31.5,116,4.26,7.11,
2014,Tyler Gaffney,Stanford,RB,71.5,220,9,30.25,,4.49,15,36.5,115,4.18,6.78,11.36
2014,Marion Grice,Arizona State,RB,72,208,9.25,32,,4.67,14,32,115,4.41,7.06,
2014,Josh Harris,Wake Forest,RB,69.88,206,9,30.5,,4.46,28,35.5,119,4.21,7,
2014,Jeremy Hill,Louisiana State,RB,72.63,233,10.38,32.63,,4.56,20,29,112,4.59,7.64,
2014,Carlos Hyde,Ohio State,RB,71.88,230,9.63,32,9,4.62,19,34.5,113,,,
2014,Storm Johnson,Central Florida,RB,71.63,209,9.5,32,,4.6,16,35.5,116,,,
2014,Henry Josey,Missouri,RB,68.13,194,9.5,30.25,,4.43,20,34.5,116,4.13,7.07,11.67
2014,Tre Mason,Auburn,RB,68.5,207,9,30,,4.5,,38.5,125,4.15,,
2014,Jerick McKinnon,Georgia Southern,RB,68.88,209,8.63,30.25,,4.41,32,40.5,132,4.12,6.83,
2014,Rajion Neal,Tennessee,RB,71.13,220,9,31,,4.57,,38,119,4.34,7.19,
2014,LaDarius Perkins,Mississippi State,RB,67.38,195,9.63,31,,4.46,23,35.5,123,4.3,7.08,
2014,Silas Redd,Southern California,RB,69.75,212,9,30.75,,4.7,18,37,122,,,
2014,Bishop Sankey,Washington,RB,69.5,209,10,31,,4.49,26,35.5,125,4,6.75,
2014,Lache Seastrunk,Baylor,RB,69.5,201,9.25,30,,4.51,15,41.5,134,4.36,6.81,
2014,Charles Sims,West Virginia,RB,72,214,8.25,31,,4.48,17,37.5,125,4.3,7.16,
2014,Jerome Smith,Syracuse,RB,71.13,220,9.75,30.88,,4.84,14,36,116,4.6,7.53,
2014,Lorenzo Taliaferro,Coastal Carolina (SC),RB,72.25,229,8.38,32,,4.58,18,33,116,4.22,6.88,
2014,DeAnthony Thomas,Oregon,RB,68.63,174,8.13,29.88,,4.5,8,32,123,4.23,6.94,
2014,Terrance West,Towson (MD),RB,69.25,225,9.13,31,,4.56,16,33.5,120,4.44,7.28,
2014,James White,Wisconsin,RB,69.13,204,8.25,29.25,,4.57,23,32,113,4.2,7.05,11.76
2014,James Wilder,Florida State,RB,74.63,232,9.75,32,,4.86,18,35,121,4.24,6.92,12.03
2014,Andre Williams,Boston College,RB,71.38,230,9,33.5,,4.56,,38,128,4.06,7.27,
2014,Damien Williams,Oklahoma,RB,71.25,222,9.13,30.63,,4.45,16,35.5,121,4.25,7.37,11.76
2021,Otis Anderson,Central Florida,RB,67.5,179,9,31.125,,4.65,11,36,113,4.42,7.04,
2021,Rakeem Boyd,Arkansas,RB,71.38,213,8.625,32.5,,4.7,6,32.5,98,4.38,7.22,
2021,Gary Brightwell,Arizona,RB,70.75,218,9.375,31,,4.62,17,34.5,118,4.48,7.51,
2021,Spencer Brown,Alabama-Birmingham,RB,70.38,208,8.5,30.625,,4.64,74,36.5,121,4.39,7.38,
2021,Michael Carter,North Carolina,RB,67.88,201,8.75,29.125,,4.54,16,34,119,3.98,6.83,
2021,Gerrid Doaks,Cincinnati,RB,71.38,228,9.75,31,,4.58,19,39.5,120,4.28,7.21,
2021,BJ Emmons,Florida Atlantic,RB,71.38,215,9.25,32.25,,4.59,21,36,120,4.14,6.89,
2021,Travis Etienne,Clemson,RB,70.13,215,9.375,30.125,,4.45,18,33.5,128,,,
2021,Chris Evans,Michigan,RB,71,211,10,32.5,,4.52,20,40.5,127,4.14,6.85,
2021,Demetric Felton,UCLA,RB,68.63,189,9.375,31.375,,4.59,10,31.5,114,4.5,7.31,
2021,Jake Funk,Maryland,RB,70.25,204,9,30.25,,4.49,22,38,122,4.12,6.71,
2021,Kenneth Gainwell,Memphis,RB,68.38,201,9.875,30.625,,4.47,21,35,121,4.46,7.26,
2021,JaQuan Hardy,Tiffin (OH),RB,68.25,211,8.75,29.875,,4.56,21,33,119,4.14,6.98,
2021,Najee Harris,Alabama,RB,73.38,232,10.25,33.375,,,,,117,,,
2021,Javian Hawkins,Louisville,RB,68.13,183,7.875,29.25,,4.46,,36,116,4.25,6.95,
2021,Justin Henderson,Louisiana Tech,RB,67.75,220,9.25,30.875,,4.65,26,32,118,4.59,7.22,
2021,Khalil Herbert,Virginia Tech,RB,68.88,210,8.625,31.25,,4.5,22,33,115,4.34,6.9,
2021,Kylin Hill,Mississippi State,RB,70.5,214,9.625,30.5,,4.57,22,36,122,4.35,7.2,
2021,Chuba Hubbard,Oklahoma State,RB,72,210,9,32,,4.51,20,36,120,4.3,7.28,
2021,Deon Jackson,Duke,RB,71,218,9.25,30.25,,4.42,18,36,123,4.4,7.14,
2021,Josh Johnson,Louisiana-Monroe,RB,68.88,209,8.75,29.625,,4.61,22,35.5,115,4.4,7.16,
2021,CJ Marable,Coastal Carolina (SC),RB,66.88,195,9.25,29.5,,4.58,17,36,116,4.34,7.32,
2021,Jah-Maine Martin,North Carolina A&T,RB,69.13,203,,,,,,,127,,,
2021,Greg McCrae,Central Florida,RB,69.88,182,8.875,30.875,,4.54,,37.5,124,4.37,6.88,
2021,Nate McCrary,Saginaw Valley State (MI),RB,72.25,213,9.25,30,,4.52,19,34,123,4.19,6.94,
2021,Elijah Mitchell,Louisiana-Lafayette,RB,70.25,201,9.75,31,,4.35,17,37.5,128,4.2,6.94,
2021,Trey Ragas,Louisiana-Lafayette,RB,70.13,218,8.875,29.75,,4.63,23,33.5,117,4.5,7.15,
2021,Asim Rose,Kentucky,RB,73,215,9.375,31.25,,4.53,24,34,120,4.62,7.26,
2021,Larry Rountree,Missouri,RB,70.63,211,9.125,30.75,,4.7,18,30,108,4.47,6.96,
2021,Mekhi Sargent,Iowa,RB,68.38,208,9.375,30.375,,4.69,18,33.5,113,4.3,7.08,
2021,Trey Sermon,Ohio State,RB,72.38,215,9.375,33.375,,4.61,,37,125,4.3,6.84,
2021,Rhamondre Stevenson,Oklahoma,RB,71.63,231,9,30.25,,4.64,15,31.5,112,4.15,7.09,
2021,Javonte Williams,North Carolina,RB,69.63,212,9.375,30.875,,4.57,22,36,123,4.09,6.93,
2021,Pooka Williams,Kansas,RB,69.63,170,9.75,30.875,,4.46,4,31.5,118,4.26,7.03,
